id_empleado,departamento,educacion,antiguedad_anios,edad,desempeno_pre,tratamiento,desempeno_post
E069,Comercial,Bachillerato,4.8,47.0,68.6,1,60.2
E070,Comercial,Universitario,1.6,38.0,82.0,0,62.5
E071,Comercial,Bachillerato,1.5,32.0,61.9,0,31.6
E072,Servicio al Cliente,Universitario,5.6,30.0,66.7,1,61.7
E073,Comercial,Universitario,4.3,39.0,59.8,1,51.6
E074,Servicio al Cliente,Técnico,8.4,28.0,100.0,1,90.1
E075,Comercial,Técnico,2.7,33.0,74.9,1,69.0
E076,Comercial,Bachillerato,7.4,40.0,61.0,1,51.2
E077,Operaciones,Universitario,4.3,32.0,44.8,0,39.9
E078,Operaciones,Posgrado,4.7,35.0,53.3,0,39.6
E079,Operaciones,Universitario,8.5,32.0,60.8,1,51.8
E080,Servicio al Cliente,Técnico,4.1,26.0,51.9,1,39.7
E081,Comercial,Técnico,4.2,44.0,66.9,0,56.2
E082,Comercial,Técnico,1.1,45.0,53.7,0,42.2
E083,Operaciones,Técnico,0.7,31.0,46.3,1,42.1
E084,Servicio al Cliente,Técnico,4.9,32.0,76.6,1,57.5
E085,Comercial,Posgrado,2.4,33.0,48.4,1,55.0
E086,Comercial,Técnico,3.5,38.0,37.2,0,28.9
E087,Servicio al Cliente,Universitario,3.0,27.0,78.6,1,72.3
E088,Servicio al Cliente,Bachillerato,5.3,33.0,90.7,0,73.2
E089,Comercial,Técnico,1.8,36.0,66.9,1,51.6
E090,Servicio al Cliente,Universitario,3.7,39.0,76.2,1,73.0
E091,Comercial,Universitario,2.9,20.0,75.4,1,65.8
E092,Comercial,Técnico,1.5,37.0,94.5,1,80.5
E093,Comercial,Universitario,3.3,37.0,55.8,0,31.3
E094,Comercial,Bachillerato,4.5,42.0,63.2,1,67.0
E095,Operaciones,Bachillerato,8.2,30.0,66.3,1,61.4
E096,Operaciones,Bachillerato,2.6,30.0,67.7,1,60.3
E097,Comercial,Universitario,3.8,44.0,65.6,0,47.3
E098,Comercial,Técnico,7.9,21.0,70.3,1,63.3
E099,Comercial,Universitario,2.7,47.0,68.9,1,67.1
E100,Operaciones,Bachillerato,2.3,54.0,90.6,1,78.4
E101,Operaciones,Posgrado,1.6,38.0,69.6,0,58.5
E102,Comercial,Posgrado,3.9,41.0,78.1,1,61.9
E103,Comercial,Universitario,3.4,22.0,75.7,0,46.9
E104,Servicio al Cliente,Universitario,4.0,28.0,72.5,1,59.9
E105,Comercial,Técnico,0.2,42.0,62.0,0,47.0
E106,Operaciones,Bachillerato,2.7,37.0,76.8,1,61.3
E107,Comercial,Bachillerato,3.0,33.0,46.4,0,37.3
E108,Servicio al Cliente,Técnico,11.7,36.0,92.8,1,78.7
E109,Comercial,Universitario,5.4,38.0,77.3,1,55.8
E110,Comercial,Universitario,3.3,32.0,68.8,1,67.8
E111,Comercial,Bachillerato,1.7,34.0,66.2,1,59.1
E112,Operaciones,Universitario,5.0,34.0,71.6,1,56.6
E113,Operaciones,Universitario,5.0,26.0,78.8,1,59.5
E114,Servicio al Cliente,Bachillerato,2.1,37.0,72.2,0,73.1
E115,Comercial,Técnico,8.8,48.0,88.4,1,73.9
E116,Comercial,Técnico,6.0,48.0,90.4,1,63.9
E117,Operaciones,Bachillerato,4.4,22.0,81.6,1,62.0
E118,Servicio al Cliente,Bachillerato,2.0,39.0,48.7,1,48.1
E119,Comercial,Universitario,3.5,39.0,61.5,1,51.9
E120,Operaciones,Universitario,1.3,31.0,77.8,1,67.6
E121,Servicio al Cliente,Técnico,2.3,26.0,92.4,1,80.0
E122,Comercial,Técnico,6.2,23.0,62.9,1,57.9
E123,Comercial,Universitario,1.1,30.0,73.1,1,65.6
E124,Comercial,Bachillerato,1.3,37.0,80.8,0,62.4
E125,Comercial,Posgrado,3.8,33.0,69.3,1,74.3
E126,Comercial,Bachillerato,2.9,29.0,52.7,0,40.0
E127,Servicio al Cliente,Técnico,3.6,24.0,91.3,1,87.2
E128,Operaciones,Bachillerato,4.3,37.0,58.0,0,48.0
E129,Comercial,Técnico,2.5,43.0,58.1,0,53.3
E130,Operaciones,Técnico,6.5,27.0,73.4,1,70.0
E131,Servicio al Cliente,Posgrado,3.0,38.0,68.1,0,62.0
E132,Comercial,Bachillerato,4.2,20.0,57.4,1,71.8
E133,Operaciones,Técnico,4.2,29.0,88.5,0,68.8
E134,Comercial,Universitario,4.6,40.0,74.9,1,70.3
E135,Comercial,Técnico,2.8,25.0,78.1,1,82.8
E136,Servicio al Cliente,Técnico,1.0,29.0,65.3,1,61.6
E137,Comercial,Técnico,4.4,45.0,68.4,1,43.8
E138,Comercial,Bachillerato,2.1,28.0,82.6,0,61.8
E139,Comercial,Universitario,0.8,27.0,59.4,0,45.0
E140,Servicio al Cliente,Universitario,5.1,39.0,64.8,0,52.5
E141,Comercial,Técnico,3.7,50.0,73.6,1,61.7
E142,Servicio al Cliente,Bachillerato,3.5,32.0,78.7,0,78.2
E143,Comercial,Técnico,3.1,40.0,78.4,1,85.1
E144,Operaciones,Bachillerato,3.2,45.0,56.3,0,33.8
E145,Comercial,Posgrado,2.3,37.0,53.8,1,44.9
E146,Comercial,Técnico,5.2,32.0,59.0,1,62.7
E147,Comercial,Posgrado,4.2,27.0,79.0,1,64.5
E148,Comercial,Universitario,1.3,23.0,76.6,0,57.6
E149,Operaciones,Posgrado,1.2,43.0,69.8,0,49.8
E150,Operaciones,Universitario,1.2,35.0,69.5,1,73.0
E151,Servicio al Cliente,Bachillerato,2.1,45.0,46.9,1,45.7
E152,Operaciones,Bachillerato,7.4,42.0,74.7,1,75.8
E153,Servicio al Cliente,Universitario,1.1,29.0,47.0,1,42.2
E154,Operaciones,Técnico,1.3,25.0,75.9,1,73.5
E155,Servicio al Cliente,Universitario,1.4,37.0,62.3,0,47.9
E156,Comercial,Universitario,1.0,29.0,68.7,0,55.9
E157,Servicio al Cliente,Técnico,2.5,37.0,64.4,1,56.3
E158,Comercial,Universitario,0.8,28.0,64.7,0,49.7
E159,Comercial,Bachillerato,7.3,27.0,57.5,1,53.5
E160,Operaciones,Universitario,1.5,33.0,64.2,1,60.9
E161,Operaciones,Universitario,5.3,41.0,68.5,1,67.9
E162,Servicio al Cliente,Universitario,0.6,36.0,68.0,1,55.3
E163,Servicio al Cliente,Bachillerato,5.4,43.0,75.9,0,50.7
E164,Comercial,Técnico,3.9,24.0,73.9,0,67.3
E165,Comercial,Técnico,5.8,26.0,72.9,1,80.0
E166,Operaciones,Técnico,2.1,33.0,58.9,0,53.9
E167,Operaciones,Bachillerato,5.1,51.0,53.5,1,60.3
E168,Comercial,Técnico,2.1,39.0,54.7,1,49.4
E169,Operaciones,Posgrado,5.6,25.0,59.7,0,52.1
E170,Servicio al Cliente,Técnico,7.0,33.0,80.8,1,74.6
E171,Servicio al Cliente,Universitario,5.3,36.0,82.1,1,73.8
E172,Servicio al Cliente,Universitario,7.8,29.0,61.7,1,51.3
E173,Servicio al Cliente,Universitario,3.2,39.0,53.6,1,39.9
E174,Comercial,Técnico,2.9,33.0,47.8,1,55.6
E175,Comercial,Universitario,2.1,32.0,59.2,1,60.9
E176,Operaciones,Universitario,1.9,44.0,71.5,1,60.0
E177,Operaciones,Técnico,1.2,20.0,52.9,0,45.1
E178,Comercial,Técnico,4.9,26.0,83.2,1,70.2
E179,Comercial,Técnico,2.6,27.0,71.5,1,71.1
E180,Servicio al Cliente,Posgrado,3.0,27.0,80.2,0,66.9
E181,Servicio al Cliente,Universitario,4.6,28.0,59.1,1,66.2
E182,Operaciones,Universitario,3.1,38.0,76.0,1,68.9
E183,Operaciones,Universitario,10.0,43.0,59.7,1,55.2
E184,Comercial,Universitario,3.2,41.0,75.9,1,68.2
E185,Servicio al Cliente,Técnico,2.8,26.0,84.5,0,86.0
E186,Comercial,Universitario,7.7,33.0,88.3,1,82.1
E187,Operaciones,Técnico,0.9,38.0,59.3,0,48.3
E188,Operaciones,Universitario,6.2,36.0,59.4,1,61.9
E189,Comercial,Técnico,2.7,44.0,65.2,1,58.3
E190,Servicio al Cliente,Bachillerato,3.4,29.0,86.6,1,78.5
E191,Operaciones,Bachillerato,3.9,35.0,51.8,1,57.0
E192,Comercial,Técnico,2.8,31.0,49.1,1,29.7
E193,Servicio al Cliente,Técnico,3.0,36.0,42.9,0,25.9
E194,Operaciones,Posgrado,1.3,25.0,67.2,0,44.7
E195,Comercial,Bachillerato,2.6,27.0,46.7,0,35.7
E196,Comercial,Universitario,1.7,28.0,80.7,1,69.1
E197,Comercial,Posgrado,10.9,29.0,93.4,1,84.2
E198,Operaciones,Técnico,2.6,46.0,65.4,1,64.8
E199,Comercial,Universitario,5.3,43.0,98.0,1,94.8
E200,Comercial,Bachillerato,2.6,32.0,69.9,1,61.2
E201,Operaciones,Bachillerato,5.3,35.0,63.2,1,55.7
E202,Comercial,Técnico,9.4,21.0,66.3,1,57.4
E203,Comercial,Técnico,1.7,33.0,83.6,1,67.4
E204,Servicio al Cliente,Universitario,4.6,35.0,78.2,1,71.1
E205,Comercial,Universitario,4.0,43.0,43.8,1,35.3
E206,Servicio al Cliente,Universitario,6.9,37.0,48.0,1,55.1
E207,Operaciones,Bachillerato,3.8,37.0,50.4,0,42.7
E208,Servicio al Cliente,Universitario,2.5,36.0,59.9,1,61.7
E209,Operaciones,Bachillerato,4.4,36.0,52.9,0,54.0
E210,Comercial,Universitario,5.7,23.0,60.4,0,32.4
E211,Comercial,Posgrado,1.6,31.0,56.4,0,44.4
E212,Comercial,Universitario,2.7,45.0,53.7,1,47.1
E213,Operaciones,Universitario,3.7,41.0,93.4,1,84.3
E214,Comercial,Técnico,4.1,38.0,85.3,1,80.9
E215,Operaciones,Universitario,2.1,35.0,88.0,1,80.0
E216,Operaciones,Universitario,3.2,39.0,87.7,1,77.7
E217,Servicio al Cliente,Bachillerato,3.0,26.0,66.5,0,51.7
E218,Operaciones,Técnico,2.8,21.0,68.6,1,68.9
E219,Comercial,Técnico,4.1,31.0,57.1,0,46.0
E220,Servicio al Cliente,Universitario,3.1,38.0,69.3,1,74.9
E221,Operaciones,Bachillerato,4.1,35.0,56.3,0,41.7
E222,Servicio al Cliente,Universitario,8.5,42.0,52.6,0,55.2
E223,Servicio al Cliente,Técnico,2.4,37.0,57.7,0,38.0
E224,Comercial,Universitario,3.4,34.0,78.2,1,71.6
E225,Comercial,Técnico,6.3,45.0,71.2,1,65.0
E226,Comercial,Posgrado,3.6,43.0,75.1,1,62.4
E227,Comercial,Bachillerato,5.9,33.0,69.9,0,45.9
E228,Operaciones,Técnico,3.0,25.0,56.4,1,59.8
E229,Comercial,Técnico,4.7,27.0,75.0,1,67.3
E230,Servicio al Cliente,Universitario,5.5,33.0,70.5,1,70.6
E231,Servicio al Cliente,Técnico,3.2,31.0,83.4,1,86.0
E232,Comercial,Posgrado,9.2,47.0,88.6,0,74.2
E233,Operaciones,Posgrado,2.1,21.0,63.1,1,65.1
E234,Servicio al Cliente,Técnico,1.5,33.0,67.7,0,51.1
E235,Comercial,Bachillerato,3.8,25.0,57.3,1,64.0
E236,Servicio al Cliente,Posgrado,2.3,35.0,56.5,0,56.1
E237,Comercial,Universitario,3.8,37.0,61.1,0,52.8
E238,Comercial,Técnico,3.9,31.0,74.0,1,65.0
E239,Servicio al Cliente,Universitario,1.5,38.0,60.0,0,48.4
E240,Comercial,Bachillerato,3.9,32.0,86.7,1,77.1
E241,Operaciones,Bachillerato,0.9,33.0,71.4,1,67.8
E242,Comercial,Universitario,7.0,31.0,67.4,1,61.5
E243,Servicio al Cliente,Bachillerato,2.3,39.0,79.0,0,60.2
E244,Servicio al Cliente,Universitario,6.8,35.0,61.6,1,56.0
E245,Comercial,Posgrado,3.8,47.0,60.3,1,56.3
E246,Servicio al Cliente,Universitario,8.9,44.0,88.3,1,85.8
E247,Servicio al Cliente,Universitario,3.6,38.0,52.2,1,43.7
E248,Operaciones,Universitario,3.8,20.0,66.2,1,47.1
E249,Comercial,Universitario,1.3,22.0,61.5,0,38.5
E250,Servicio al Cliente,Universitario,2.8,42.0,58.4,0,48.4
E251,Servicio al Cliente,Bachillerato,3.7,30.0,79.8,1,72.8
E252,Servicio al Cliente,Bachillerato,3.6,36.0,78.2,1,77.9
E253,Servicio al Cliente,Técnico,6.6,29.0,78.4,1,87.2
E254,Comercial,Técnico,3.4,38.0,68.0,1,60.9
E255,Comercial,Técnico,8.1,42.0,79.2,1,77.8
E256,Servicio al Cliente,Técnico,6.3,24.0,46.0,1,41.5
E257,Comercial,Técnico,3.1,27.0,62.6,0,57.7
E258,Servicio al Cliente,Técnico,6.2,21.0,70.4,1,65.8
E259,Servicio al Cliente,Técnico,5.1,36.0,62.0,1,49.2
E260,Comercial,Universitario,6.3,21.0,72.3,1,67.5
E261,Comercial,Universitario,6.4,31.0,98.7,1,88.7
E262,Comercial,Técnico,2.1,38.0,68.0,0,56.7
E263,Comercial,Universitario,5.6,50.0,74.4,1,64.9
E264,Servicio al Cliente,Técnico,1.7,37.0,68.8,1,73.0
E265,Servicio al Cliente,Posgrado,2.9,44.0,52.9,1,58.7
E266,Operaciones,Universitario,5.1,36.0,51.2,0,46.3
E267,Comercial,Bachillerato,10.6,36.0,54.0,1,46.7
E268,Comercial,Universitario,6.6,32.0,73.7,1,63.6
E269,Comercial,Técnico,6.5,31.0,45.7,1,51.1
E270,Comercial,Universitario,11.9,43.0,82.2,1,84.6
E271,Operaciones,Universitario,2.3,37.0,64.4,1,66.6
E272,Comercial,Bachillerato,1.9,37.0,71.9,1,63.7
E273,Operaciones,Técnico,2.9,29.0,51.4,1,50.7
E274,Comercial,Posgrado,4.8,31.0,87.5,1,85.3
E275,Operaciones,Universitario,3.4,51.0,67.0,1,52.2
E276,Comercial,Bachillerato,4.3,33.0,45.7,1,35.5
E277,Comercial,Técnico,3.1,45.0,82.3,1,80.1
E278,Servicio al Cliente,Universitario,5.6,30.0,54.2,0,44.7
E279,Comercial,Técnico,3.6,40.0,53.2,1,44.4
E280,Comercial,Técnico,7.4,36.0,56.5,1,52.1
E281,Comercial,Posgrado,7.7,31.0,67.4,1,59.2
E282,Comercial,Técnico,0.8,39.0,72.7,1,69.1
E283,Comercial,Técnico,2.9,22.0,74.0,1,65.7
E284,Servicio al Cliente,Universitario,10.3,39.0,100.0,1,89.1
E285,Operaciones,Bachillerato,2.6,40.0,59.1,0,58.5
E286,Comercial,Técnico,1.5,36.0,60.7,1,57.9
E287,Comercial,Posgrado,5.0,44.0,52.6,1,49.8
E288,Comercial,Posgrado,3.8,33.0,54.9,1,48.6
E289,Comercial,Técnico,4.9,33.0,82.4,1,69.5
E290,Servicio al Cliente,Universitario,4.2,37.0,62.3,1,57.0
E291,Comercial,Técnico,4.1,41.0,73.7,1,73.5
E292,Servicio al Cliente,Posgrado,2.3,39.0,67.2,1,67.0
E293,Comercial,Universitario,2.7,32.0,54.6,0,33.6
E294,Operaciones,Universitario,2.5,26.0,57.1,1,67.0
E295,Servicio al Cliente,Bachillerato,4.5,39.0,46.1,1,41.8
E296,Servicio al Cliente,Bachillerato,5.3,28.0,66.8,1,57.3
E297,Servicio al Cliente,Técnico,5.0,27.0,69.9,1,62.3
E298,Comercial,Posgrado,4.7,29.0,65.1,0,66.3
E299,Operaciones,Posgrado,1.1,34.0,77.8,0,65.9
E300,Comercial,Universitario,6.3,28.0,54.1,1,53.2
E301,Operaciones,Bachillerato,9.6,25.0,73.2,0,53.8
E302,Servicio al Cliente,Bachillerato,3.5,29.0,55.8,0,46.1
E303,Operaciones,Técnico,5.2,33.0,73.7,0,74.2
E304,Comercial,Técnico,2.5,38.0,56.2,0,51.3
E305,Operaciones,Técnico,7.2,35.0,80.5,1,68.3
E306,Servicio al Cliente,Universitario,0.2,25.0,72.8,1,63.2
E307,Comercial,Bachillerato,0.9,36.0,69.7,0,59.5
E308,Comercial,Bachillerato,3.2,37.0,70.7,1,70.8
E309,Servicio al Cliente,Técnico,6.0,30.0,73.2,1,57.9
E310,Comercial,Técnico,3.2,28.0,71.6,1,67.4
E311,Servicio al Cliente,Bachillerato,0.8,28.0,72.0,0,62.1
E312,Servicio al Cliente,Técnico,3.3,30.0,63.4,1,67.4
E313,Comercial,Técnico,6.6,52.0,56.8,0,37.2
E314,Servicio al Cliente,Posgrado,4.3,27.0,67.9,1,78.1
E315,Servicio al Cliente,Bachillerato,1.0,36.0,72.0,1,62.2
E316,Comercial,Bachillerato,3.5,28.0,73.9,1,63.4
E317,Servicio al Cliente,Bachillerato,1.6,30.0,87.0,1,72.8
E318,Comercial,Técnico,4.8,28.0,62.8,1,62.2
E319,Operaciones,Universitario,3.7,40.0,51.0,1,42.8
E320,Comercial,Posgrado,2.9,37.0,60.8,1,68.8
E321,Servicio al Cliente,Posgrado,7.6,33.0,66.0,1,57.3
E322,Servicio al Cliente,Técnico,4.0,38.0,58.5,0,47.8
E323,Operaciones,Bachillerato,7.3,40.0,58.4,1,47.0
E324,Servicio al Cliente,Universitario,6.3,27.0,68.4,0,50.6
E325,Servicio al Cliente,Técnico,2.8,38.0,66.4,1,46.7
E326,Servicio al Cliente,Bachillerato,3.1,28.0,55.0,0,44.0
E327,Comercial,Universitario,2.0,41.0,52.9,0,42.0
E328,Servicio al Cliente,Técnico,1.3,40.0,70.5,1,51.5
E329,Comercial,Técnico,1.9,37.0,72.2,1,63.9
E330,Servicio al Cliente,Universitario,5.3,32.0,59.4,1,59.1
E331,Comercial,Universitario,5.0,30.0,66.9,1,70.7
E332,Servicio al Cliente,Posgrado,7.6,32.0,77.0,1,62.4
E333,Servicio al Cliente,Técnico,4.0,40.0,69.8,1,50.6
E334,Operaciones,Bachillerato,8.8,29.0,90.8,1,78.2
E335,Servicio al Cliente,Técnico,3.9,34.0,52.0,1,62.6
E336,Operaciones,Posgrado,4.2,20.0,49.7,0,38.0
E337,Comercial,Bachillerato,6.1,36.0,78.6,1,66.7
E338,Comercial,Posgrado,1.2,26.0,70.2,0,63.2
E339,Operaciones,Universitario,4.1,23.0,61.7,1,54.6
E340,Servicio al Cliente,Bachillerato,2.7,38.0,80.2,1,68.6
E341,Servicio al Cliente,Universitario,10.4,36.0,65.6,0,47.4
E342,Operaciones,Universitario,1.5,30.0,72.3,0,58.0
E343,Comercial,Bachillerato,4.2,32.0,66.2,1,60.5
E344,Comercial,Técnico,8.7,52.0,62.7,1,59.2
E345,Comercial,Universitario,5.0,32.0,63.9,1,59.6
E346,Servicio al Cliente,Universitario,1.4,32.0,80.2,1,60.2
E347,Comercial,Técnico,4.9,39.0,64.3,1,63.8
E348,Operaciones,Universitario,2.6,35.0,85.2,1,65.2
E349,Servicio al Cliente,Técnico,2.2,42.0,68.6,1,60.3
E350,Operaciones,Técnico,2.6,36.0,64.0,1,67.8
E351,Comercial,Posgrado,3.5,40.0,55.7,0,48.9
E352,Operaciones,Técnico,6.2,38.0,78.1,0,72.3
E353,Comercial,Universitario,5.0,39.0,71.5,0,53.3
E354,Servicio al Cliente,Universitario,2.9,34.0,66.4,1,56.9
E355,Servicio al Cliente,Técnico,2.9,36.0,68.5,1,70.6
E356,Servicio al Cliente,Técnico,1.4,32.0,64.7,0,52.6
E357,Servicio al Cliente,Posgrado,3.1,39.0,53.1,1,65.4
E358,Comercial,Universitario,10.6,23.0,81.3,1,65.5
E359,Comercial,Universitario,0.5,40.0,87.7,1,81.9
E360,Operaciones,Posgrado,5.1,42.0,89.5,1,82.6
E361,Operaciones,Universitario,6.5,40.0,71.5,1,73.0
E362,Servicio al Cliente,Universitario,0.5,33.0,62.4,1,62.2
E363,Comercial,Posgrado,3.7,38.0,69.0,0,59.7
E364,Operaciones,Universitario,5.7,28.0,62.1,0,50.8
E365,Comercial,Universitario,8.4,41.0,75.1,1,74.2
E366,Operaciones,Bachillerato,1.7,25.0,70.9,1,60.9
E367,Comercial,Técnico,3.4,39.0,53.3,0,49.5
E368,Operaciones,Universitario,2.0,38.0,62.7,1,71.2
E369,Operaciones,Técnico,2.5,37.0,77.5,1,64.3
E370,Servicio al Cliente,Bachillerato,6.7,30.0,81.2,1,76.9
E371,Servicio al Cliente,Bachillerato,6.0,40.0,54.7,1,55.1
E372,Operaciones,Universitario,1.4,20.0,79.3,1,64.0
E373,Operaciones,Bachillerato,5.7,40.0,66.1,1,61.4
E374,Comercial,Técnico,3.1,36.0,67.2,0,59.7
E375,Comercial,Universitario,0.4,42.0,63.4,1,64.0
E376,Operaciones,Universitario,3.6,36.0,42.5,1,36.9
E377,Servicio al Cliente,Universitario,2.1,49.0,71.7,1,66.8
E378,Comercial,Universitario,2.2,26.0,47.5,1,50.0
E379,Servicio al Cliente,Universitario,3.1,39.0,77.4,1,75.5
E380,Comercial,Bachillerato,9.0,27.0,56.6,1,53.9
E381,Comercial,Técnico,2.9,33.0,80.0,1,67.1
E382,Servicio al Cliente,Bachillerato,1.0,40.0,68.6,0,62.3
E383,Servicio al Cliente,Universitario,3.6,39.0,75.2,1,59.9
E384,Servicio al Cliente,Técnico,5.2,51.0,60.6,1,52.0
E385,Operaciones,Técnico,6.0,31.0,48.1,0,44.5
E386,Comercial,Técnico,4.4,44.0,56.7,0,47.9
E387,Servicio al Cliente,Universitario,6.0,32.0,73.7,1,67.3
E388,Comercial,Bachillerato,5.0,28.0,74.5,0,53.3
E389,Servicio al Cliente,Técnico,2.0,21.0,56.3,0,51.6
E390,Servicio al Cliente,Bachillerato,4.2,35.0,84.3,1,78.3
E391,Comercial,Técnico,4.0,30.0,68.0,1,75.7
E392,Operaciones,Bachillerato,1.8,41.0,46.8,0,43.0
E393,Servicio al Cliente,Técnico,3.4,30.0,71.0,0,46.6
E394,Operaciones,Bachillerato,3.2,30.0,58.3,1,55.5
E395,Servicio al Cliente,Técnico,6.7,37.0,80.2,0,62.5
E396,Operaciones,Universitario,1.9,48.0,69.2,1,61.8
E397,Operaciones,Posgrado,3.6,25.0,69.7,1,61.9
E398,Comercial,Universitario,1.7,42.0,62.9,1,59.3
E399,Servicio al Cliente,Técnico,2.9,41.0,80.8,1,66.4
E400,Comercial,Bachillerato,5.6,32.0,58.6,1,43.8
E401,Comercial,Técnico,5.4,39.0,73.4,1,68.9
E402,Comercial,Técnico,10.4,32.0,73.8,0,66.0
E403,Servicio al Cliente,Técnico,2.2,53.0,54.4,1,55.0
E404,Servicio al Cliente,Universitario,3.1,33.0,66.6,1,63.0
E405,Operaciones,Técnico,1.9,35.0,55.2,1,47.0
E406,Servicio al Cliente,Técnico,2.2,31.0,91.2,1,85.4
E407,Comercial,Universitario,4.2,20.0,80.6,1,57.7
E408,Servicio al Cliente,Universitario,3.8,32.0,48.4,0,53.6
E409,Comercial,Técnico,5.6,36.0,64.1,1,55.2
E410,Operaciones,Universitario,1.4,46.0,73.4,1,71.0
E411,Comercial,Universitario,4.5,38.0,82.7,1,69.8
E412,Comercial,Bachillerato,5.5,32.0,79.9,1,71.7
E413,Comercial,Técnico,3.0,34.0,90.3,1,76.3
E414,Operaciones,Universitario,15.0,37.0,78.6,0,47.9
E415,Comercial,Técnico,0.3,31.0,80.6,1,75.8
E416,Operaciones,Universitario,6.8,39.0,56.5,1,45.9
